species,stage,rec,band_number,colony,year,date,winglength,bird_bag_weight,bag_weight,bird_weight,bridled,tarsus_length,culmen_length,logger,avian_flu,capture,WetDry,comments
COMU,fledgling,1,,Funk,1980,30-Jul-80,60,,,130,,,,,,dip net,,touch of white over eye
COMU,fledgling,2,,Funk,1980,30-Jul-80,65,,,135,,,,,, dip net,,touch of white over eye
COMU,fledgling,3,,Funk,1980,30-Jul-80,50,,,110,,,,,, dip net,,touch of white over eye
COMU,fledgling,4,,Funk,1980,30-Jul-80,55,,,110,,,,,, dip net,,touch of white over eye
COMU,fledgling,5,,Funk,1980,30-Jul-80,52,,,175,,,,,, dip net,,no white
COMU,fledgling,6,,Funk,1980,30-Jul-80,58,,,133,,,,,, dip net,,no white
COMU,fledgling,7,,Funk,1980,30-Jul-80,47,,,167,,,,,, dip net,,
COMU,fledgling,8,,Funk,1980,30-Jul-80,57,,,210,,,,,, dip net,,slight white
COMU,fledgling,9,,Funk,1980,30-Jul-80,61,,,199,,,,,, dip net,,white
COMU,fledgling,10,,Funk,1980,30-Jul-80,48,,,170,,,,,, dip net,,
COMU,fledgling,11,,Funk,1980,30-Jul-80,51,,,110,,,,,, dip net,,white
COMU,fledgling,12,,Funk,1980,30-Jul-80,45,,,110,,,,,, dip net,,
COMU,fledgling,13,,Funk,1980,30-Jul-80,70,,,145,,,,,, dip net,,
COMU,fledgling,14,,Funk,1980,30-Jul-80,81,,,150,,,,,, dip net,,dead
COMU,fledgling,15,,Funk,1980,30-Jul-80,67,,,150,,,,,, dip net,,dead
COMU,fledgling,16,,Funk,1980,30-Jul-80,55,,,145,,,,,, dip net,,no white
COMU,fledgling,17,,Funk,1980,30-Jul-80,37,,,110,,,,,, dip net,,no white
COMU,fledgling,18,,Funk,1980,31-Jul-80,60,,,175,,,,,, dip net,,no white
COMU,fledgling,19,,Funk,1980,31-Jul-80,52,,,168,,,,,, dip net,,slight white
COMU,fledgling,20,,Funk,1980,31-Jul-80,56,,,160,,,,,, dip net,,slight white
COMU,fledgling,21,,Funk,1980,31-Jul-80,41,,,127,,,,,, dip net,,white
COMU,fledgling,22,,Funk,1980,31-Jul-80,31,,,155,,,,,, dip net,,no white
COMU,fledgling,23,,Funk,1980,31-Jul-80,40,,,130,,,,,, dip net,,no white
COMU,fledgling,24,,Funk,1980,31-Jul-80,39,,,81,,,,,, dip net,,no white
COMU,fledgling,25,,Funk,1980,31-Jul-80,34,,,99,,,,,, dip net,,no white
COMU,fledgling,26,,Funk,1980,31-Jul-80,38,,,100,,,,,, dip net,,slight white
COMU,fledgling,27,,Funk,1980,1-Aug-80,70,,,170,,,,,, dip net,,
COMU,fledgling,28,,Funk,1980,1-Aug-80,56,,,140,,,,,, dip net,,
COMU,fledgling,29,,Funk,1980,1-Aug-80,58,,,150,,,,,, dip net,,
COMU,fledgling,30,,Funk,1980,1-Aug-80,40,,,165,,,,,, dip net,,
COMU,fledgling,31,,Funk,1980,1-Aug-80,77,,,185,,,,,, dip net,,
COMU,fledgling,32,,Funk,1980,1-Aug-80,55,,,145,,,,,, dip net,,
COMU,fledgling,33,,Funk,1980,1-Aug-80,74,,,210,,,,,, dip net,,
COMU,fledgling,34,,Funk,1980,2-Aug-80,72,,,175,,,,,, dip net,,
COMU,fledgling,35,,Funk,1980,2-Aug-80,55,,,135,,,,,, dip net,,no white
COMU,fledgling,36,,Funk,1980,2-Aug-80,58,,,180,,,,,, dip net,,slight white
COMU,fledgling,37,,Funk,1980,2-Aug-80,45,,,120,,,,,, dip net,,slight white
COMU,fledgling,38,,Funk,1980,2-Aug-80,59,,,115,,,,,, dip net,,no white
COMU,fledgling,39,,Funk,1980,2-Aug-80,76,,,170,,,,,, dip net,,slight white
COMU,fledgling,40,,Funk,1980,2-Aug-80,57,,,170,,,,,, dip net,,slight white
