species,stage,rec,band_number,colony,year,date,winglength,bird_bag_weight,bag_weight,bird_weight,bridled,tarsus_length,culmen_length,logger,avian_flu,capture,WetDry,comments
COMU,fledgling,1,1216-01288,Funk,2017,8-Aug-17,50,150,9,141,,,,,,dip net,dry,
COMU,fledgling,2,1216-01289,Funk,2017,8-Aug-17,40,205,9,196,,,,,,dip net,dry,
COMU,fledgling,3,1216-01290,Funk,2017,8-Aug-17,45,190,9,181,,,,,,dip net,dry,
COMU,fledgling,4,NA,Funk,2017,9-Aug-17,45,165,9,156,,,,,,dip net,wet,
COMU,fledgling,5,NA,Funk,2017,10-Aug-17,42,175,24,151,,,,,,dip net,wet,
COMU,fledgling,6,1216-01324,Funk,2017,10-Aug-17,48,170,24,146,,,,,,dip net,wet,
COMU,fledgling,7,1216-01325,Funk,2017,10-Aug-17,45,215,9,206,,,,,,dip net,wet,
COMU,fledgling,8,1216-01326,Funk,2017,10-Aug-17,52,170,9,161,,,,,,dip net,wet,
COMU,fledgling,9,1216-01328,Funk,2017,10-Aug-17,45,210,27,183,,,,,,dip net,dry,
COMU,fledgling,10,1216-01330,Funk,2017,10-Aug-17,50,215,27,188,,,,,,dip net,wet,
COMU,fledgling,11,1216-01331,Funk,2017,10-Aug-17,45,180,9,171,,,,,,dip net,wet,
COMU,fledgling,12,1216-01351,Funk,2017,11-Aug-17,55,170,24,146,,,,,,dip net,dry,
COMU,fledgling,13,1216-01352,Funk,2017,11-Aug-17,45,155,9,146,,,,,,dip net,dry,
COMU,fledgling,14,1216-01322,Funk,2017,11-Aug-17,53,220,29,191,,,,,,dip net,damp,
COMU,fledgling,15,1216-01353,Funk,2017,11-Aug-17,44,210,24,186,,,,,,dip net,damp,
COMU,fledgling,16,1216-01355,Funk,2017,11-Aug-17,52,205,9,196,,,,,,dip net,dry,
COMU,fledgling,17,1216-01356,Funk,2017,11-Aug-17,45,195,9,186,,,,,,dip net,damp,
COMU,fledgling,18,1216-01357,Funk,2017,11-Aug-17,44,175,29,146,,,,,,dip net,dry,
COMU,fledgling,19,1216-01358,Funk,2017,11-Aug-17,40,175,9,146,,,,,,dip net,wet,
COMU,adult,1,1216-01101,Funk,2017,5-Aug-17,,1050,52,998,N,887.3563218,,,,dip net,,
COMU,adult,2,1216-01102,Funk,2017,5-Aug-17,,970,29,941,N,,,,,dip net,,
COMU,adult,3,1216-01103,Funk,2017,5-Aug-17,,1080,24,1056,N,,,,,dip net,,
COMU,adult,4,1216-01104,Funk,2017,5-Aug-17,,980,24,956,N,,,,,dip net,,
COMU,adult,5,1216-01105,Funk,2017,5-Aug-17,,1040,24,1016,N,,,,,dip net,,
COMU,adult,6,1216-01106,Funk,2017,5-Aug-17,,960,24,936,N,,,,,dip net,,
COMU,adult,7,1216-01107,Funk,2017,5-Aug-17,,1000,24,976,N,,,,,dip net,,
COMU,adult,8,N/A,Funk,2017,5-Aug-17,,950,24,926,N,,,,,dip net,,
COMU,adult,9,1216-01108,Funk,2017,5-Aug-17,,900,24,876,N,,,,,dip net,,
COMU,adult,10,1216-01109,Funk,2017,5-Aug-17,,970,24,946,N,,,,,dip net,,
COMU,adult,11,1216-01110,Funk,2017,5-Aug-17,,1000,29,971,N,,,,,dip net,,
COMU,adult,12,1216-01111,Funk,2017,5-Aug-17,,980,24,956,N,,,,,dip net,,
COMU,adult,13,1216-01112,Funk,2017,5-Aug-17,,930,29,901,Y,,,,,dip net,,
COMU,adult,14,1216-01113,Funk,2017,5-Aug-17,,980,29,951,N,,,,,dip net,,
COMU,adult,15,1216-01114,Funk,2017,5-Aug-17,,990,29,961,Y,,,,,dip net,,
COMU,adult,16,1216-01115,Funk,2017,5-Aug-17,,890,29,861,N,,,,,dip net,,
COMU,adult,17,1216-01116,Funk,2017,5-Aug-17,,1000,29,971,N,,,,,dip net,,
COMU,adult,18,1216-01117,Funk,2017,5-Aug-17,,970,29,941,N,,,,,dip net,,
COMU,adult,19,1216-01118,Funk,2017,5-Aug-17,,1100,29,1071,N,,,,,dip net,,
COMU,adult,20,1216-01119,Funk,2017,5-Aug-17,,980,29,951,N,,,,,dip net,,
COMU,adult,21,1216-01120,Funk,2017,5-Aug-17,,1000,29,971,N,,,,,dip net,,
COMU,adult,22,1216-01121,Funk,2017,5-Aug-17,,1010,29,981,N,,,,,dip net,,
COMU,adult,23,1216-01122,Funk,2017,5-Aug-17,,920,29,891,N,,,,,dip net,,
COMU,adult,24,1216-01123,Funk,2017,6-Aug-17,,1000,29,971,Y,,,,,dip net,,
COMU,adult,25,1216-01124,Funk,2017,6-Aug-17,,920,29,891,N,,,,,dip net,,
COMU,adult,26,1216-01125,Funk,2017,6-Aug-17,,950,29,921,Y,,,,,dip net,,
COMU,adult,27,1216-01126,Funk,2017,6-Aug-17,,1050,29,1021,Y,,,,,dip net,,
COMU,adult,28,1216-01127,Funk,2017,6-Aug-17,,1040,29,1011,N,,,,,dip net,,
COMU,adult,29,1216-01128,Funk,2017,6-Aug-17,,970,29,941,N,,,,,dip net,,
COMU,adult,30,1216-01129,Funk,2017,6-Aug-17,,830,24,806,N,,,,,dip net,,
COMU,adult,31,1216-01130,Funk,2017,6-Aug-17,,1090,29,1061,N,,,,,dip net,,
COMU,adult,32,1216-01131,Funk,2017,6-Aug-17,,980,29,951,N,,,,,dip net,,
COMU,adult,33,1216-01132,Funk,2017,6-Aug-17,,930,24,906,N,,,,,dip net,,
COMU,adult,34,1216-01133,Funk,2017,6-Aug-17,,1020,29,991,N,,,,,dip net,,
COMU,adult,35,1216-01134,Funk,2017,6-Aug-17,,900,29,871,N,,,,,dip net,,
COMU,adult,36,1216-01135,Funk,2017,6-Aug-17,,900,24,876,N,,,,,dip net,,
COMU,adult,37,1216-01136,Funk,2017,6-Aug-17,,990,29,961,N,,,,,dip net,,
COMU,adult,38,1216-01137,Funk,2017,6-Aug-17,,980,29,951,Y,,,,,dip net,,
COMU,adult,39,1216-01138,Funk,2017,6-Aug-17,,910,24,886,N,,,,,dip net,,
COMU,adult,40,1216-01139,Funk,2017,6-Aug-17,,910,29,881,N,,,,,dip net,,
COMU,adult,41,1216-01140,Funk,2017,6-Aug-17,,990,29,961,N,,,,,dip net,,
COMU,adult,42,1216-01141,Funk,2017,6-Aug-17,,960,29,931,Y,,,,,dip net,,
COMU,adult,43,1216-01142,Funk,2017,6-Aug-17,,810,29,781,N,,,,,dip net,,
COMU,adult,44,1216-01143,Funk,2017,6-Aug-17,,910,29,881,N,,,,,dip net,,
COMU,adult,45,1216-01144,Funk,2017,6-Aug-17,,830,29,801,N,,,,,dip net,,
COMU,adult,46,1216-01145,Funk,2017,6-Aug-17,,1000,24,976,N,,,,,dip net,,
COMU,adult,47,1216-01146,Funk,2017,6-Aug-17,,1030,29,1001,N,,,,,dip net,,
COMU,adult,48,1216-01147,Funk,2017,6-Aug-17,,970,29,941,N,,,,,dip net,,
COMU,adult,49,1216-01148,Funk,2017,6-Aug-17,,1000,24,976,N,,,,,dip net,,
COMU,adult,50,1216-01149,Funk,2017,6-Aug-17,,930,24,906,N,,,,,dip net,,
COMU,adult,51,1216-01150,Funk,2017,6-Aug-17,,980,29,951,N,,,,,dip net,,
COMU,adult,52,1216-01151,Funk,2017,6-Aug-17,,900,24,876,Y,,,,,dip net,,
COMU,adult,53,1216-01152,Funk,2017,6-Aug-17,,920,29,891,N,,,,,dip net,,
COMU,adult,54,1216-01153,Funk,2017,6-Aug-17,,940,29,911,N,,,,,dip net,,
COMU,adult,55,1216-01154,Funk,2017,6-Aug-17,,910,29,881,N,,,,,dip net,,
COMU,adult,56,1216-01155,Funk,2017,6-Aug-17,,905,29,876,N,,,,,dip net,,
COMU,adult,57,1216-01156,Funk,2017,6-Aug-17,,940,29,911,N,,,,,dip net,,
COMU,adult,58,1216-01157,Funk,2017,6-Aug-17,,1000,29,971,N,,,,,dip net,,
COMU,adult,59,1216-01158,Funk,2017,6-Aug-17,,1050,29,1021,Y,,,,,dip net,,
COMU,adult,60,1216-01159,Funk,2017,6-Aug-17,,1000,29,971,N,,,,,dip net,,
COMU,adult,61,1216-01160,Funk,2017,6-Aug-17,,1000,29,971,Y,,,,,dip net,,
COMU,adult,62,1216-01161,Funk,2017,6-Aug-17,,930,29,901,N,,,,,dip net,,
COMU,adult,63,1216-01162,Funk,2017,6-Aug-17,,990,29,961,N,,,,,dip net,,
COMU,adult,64,1216-01163,Funk,2017,6-Aug-17,,930,29,901,N,,,,,dip net,,
COMU,adult,65,1216-01164,Funk,2017,6-Aug-17,,950,29,921,N,,,,,dip net,,
COMU,adult,66,1216-01165,Funk,2017,6-Aug-17,,950,29,921,N,,,,,dip net,,
COMU,adult,67,1216-01166,Funk,2017,6-Aug-17,,900,24,876,N,,,,,dip net,,
COMU,adult,68,1216-01167,Funk,2017,6-Aug-17,,1020,29,991,Y,,,,,dip net,,
COMU,adult,69,1216-01168,Funk,2017,6-Aug-17,,900,29,871,N,,,,,dip net,,
COMU,adult,70,1216-01169,Funk,2017,6-Aug-17,,915,24,891,N,,,,,dip net,,
COMU,adult,71,1216-01170,Funk,2017,6-Aug-17,,900,29,871,Y,,,,,dip net,,
