species,stage,rec,band_number,colony,year,date,winglength,bird_bag_weight,bag_weight,bird_weight,bridled,tarsus_length,culmen_length,logger,avian_flu,capture,WetDry,comments
COMU,chick,1,846-56332,Funk,1991,14-Aug-91,53,,,220,,,,,,round up,,
COMU,chick,2,846-56333,Funk,1991,14-Aug-91,48,,,225,,,,,,round up,,
COMU,chick,3,846-56334,Funk,1991,14-Aug-91,54,,,200,,,,,,round up,,
COMU,chick,4,846-56335,Funk,1991,14-Aug-91,36,,,190,,,,,,round up,,
COMU,chick,5,846-56336,Funk,1991,14-Aug-91,55,,,200,,,,,,round up,,
COMU,chick,6,846-56337,Funk,1991,14-Aug-91,58,,,205,,,,,,round up,,egg tooth
COMU,chick,7,846-56338,Funk,1991,14-Aug-91,57,,200,195,,,,,,round up,,
COMU,chick,8,846-56339,Funk,1991,14-Aug-91,55,,195,190,,,,,,round up,,
COMU,chick,9,846-56340,Funk,1991,14-Aug-91,57,,220,215,,,,,,round up,,
COMU,chick,10,846-56341,Funk,1991,14-Aug-91,61,,235,230,,,,,,round up,,
COMU,chick,11,846-56342,Funk,1991,14-Aug-91,27,,188,84,,,,,,round up,,egg tooth
COMU,chick,12,,Funk,1991,14-Aug-91,63,,,195,,,,,,round up,,
COMU,chick,13,,Funk,1991,14-Aug-91,36,,,140,,,,,,round up,,
COMU,chick,14,,Funk,1991,14-Aug-91,44,,,165,,,,,,round up,,
COMU,chick,15,,Funk,1991,14-Aug-91,38,,,165,,,,,,round up,,
COMU,chick,16,,Funk,1991,14-Aug-91,44,,,170,,,,,,round up,,
COMU,chick,17,,Funk,1991,14-Aug-91,31,,,105,,,,,,round up,,egg tooth
COMU,chick,18,,Funk,1991,14-Aug-91,38,,,135,,,,,,round up,,egg tooth
COMU,chick,19,,Funk,1991,14-Aug-91,46,,,165,,,,,,round up,,
COMU,chick,20,,Funk,1991,14-Aug-91,31,,120,115,,,,,,round up,,egg tooth
COMU,chick,21,,Funk,1991,14-Aug-91,47,,150,145,,,,,,round up,,
COMU,chick,22,,Funk,1991,14-Aug-91,29,,120,115,,,,,,round up,,
COMU,chick,23,,Funk,1991,14-Aug-91,55,,195,190,,,,,,round up,,
COMU,chick,24,,Funk,1991,14-Aug-91,46,,195,190,,,,,,round up,,
COMU,chick,25,,Funk,1991,14-Aug-91,27,,61,57,,,,,,round up,,
COMU,chick,26,,Funk,1991,14-Aug-91,34,,165,160,,,,,,round up,,egg tooth
COMU,chick,27,,Funk,1991,14-Aug-91,36,,150,145,,,,,,round up,,egg tooth
COMU,chick,28,,Funk,1991,14-Aug-91,54,,185,180,,,,,,round up,,egg tooth
COMU,chick,29,,Funk,1991,14-Aug-91,36,,170,165,,,,,,round up,,egg tooth
COMU,chick,30,,Funk,1991,14-Aug-91,38,,165,160,,,,,,round up,,egg tooth
COMU,chick,31,,Funk,1991,14-Aug-91,50,,140,135,,,,,,round up,,egg tooth
COMU,chick,32,,Funk,1991,14-Aug-91,37,,140,135,,,,,,round up,,bit of egg tooth
COMU,chick,33,,Funk,1991,14-Aug-91,53,,200,195,,,,,,round up,,bit of egg tooth
