year,day,month,time,measurable,tail_length,fork_length,mass,prey,prey_sex,prey_maturity,bite,digestion,band,yday,bridled
2017,5,8,afternoon,whole,,140,13,capelin,female,spent,BB,eyeless,,217,
2017,5,8,afternoon,whole,,115,11,capelin,female,gravid,AB,headless,,217,
2017,5,8,afternoon,whole,,100,5.5,capelin,female,gravid,AB,fresh,,217,
2017,5,8,afternoon,whole,,125,15,capelin,female,gravid,BB,fresh,,217,
2017,5,8,afternoon,whole,,135,14,capelin,female,spent,AB,eyeless,,217,
2017,5,8,afternoon,whole,,120,11.5,capelin,female,spent,BB,headless,,217,
2017,5,8,afternoon,whole,,110,9.5,capelin,female,gravid,AB,headless,,217,
2017,5,8,afternoon,whole,,135,14,capelin,female,spent,AB,fresh,,217,
2017,5,8,afternoon,whole,,80,7,capelin,female,gravid,AB,half body,,217,
2017,5,8,afternoon,whole,,135,16.5,capelin,female,gravid,AB,snoutless,,217,
2017,5,8,afternoon,whole,,130,16.5,capelin,female,gravid,AF,fresh,,217,
2017,5,8,afternoon,whole,,120,10,capelin,female,gravid,MID,fresh,,217,
2017,5,8,afternoon,whole,,120,9.3,capelin,female,gravid,BF,fresh,,217,
2017,5,8,afternoon,whole,,125,12.3,capelin,female,gravid,BB,fresh,,217,
2017,5,8,afternoon,whole,,130,12.6,capelin,female,gravid,AB,snoutless,,217,
2017,5,8,afternoon,whole,,110,9.7,capelin,female,spent,BB,headless,,217,
2017,5,8,afternoon,whole,,120,10.5,capelin,female,gravid,AF,fresh,,217,
2017,5,8,afternoon,whole,,130,8.5,capelin,female,spent,BB,eyeless,,217,
2017,5,8,afternoon,whole,,135,12.5,capelin,female,gravid,AB,mouthless,,217,
2017,5,8,afternoon,whole,,125,11,capelin,female,gravid,AB,headless,,217,
2017,5,8,afternoon,whole,,135,11,capelin,female,gravid,AB,snoutless,,217,
2017,5,8,afternoon,whole,,105,7.5,capelin,female,spent,AB,headless,,217,
2017,5,8,afternoon,whole,,115,10.5,capelin,female,gravid,AB,headless,,217,
2017,5,8,afternoon,whole,,145,16.5,capelin,female,gravid,AB,fresh,1216-01113,217,N
2017,5,8,afternoon,whole,,100,8.5,capelin,female,gravid,AB,headless,1216-01115,217,N
2017,5,8,afternoon,whole,,130,9.5,capelin,female,gravid,BB,eyeless,1216-01116,217,N
2017,5,8,afternoon,whole,,120,9.5,capelin,female,spent,AB,eyeless,,217,
2017,5,8,afternoon,whole,,123,8.5,capelin,female,gravid,BB,eyeless,,217,
2017,5,8,afternoon,whole,,124,11.7,capelin,female,gravid,AF,mouthless,,217,
2017,6,8,,whole,,130,12,capelin,female,gravid,,,,218,
